org_name,line_type,as_of_date,policy_count,premium,fee_amount,fee_rate_avg,line_factor,first_day_part,time_part,earned_premium_cum
自贡,交强险,2026-07-31,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,4468014.911150685,4600344.461150684
自贡,交强险,2026-08-31,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,4683727.340054794,4816056.890054794
自贡,交强险,2026-09-30,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,4856603.615863014,4988933.165863014
自贡,交强险,2026-10-31,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,4994297.957068493,5126627.507068493
自贡,交强险,2026-11-30,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,5089752.857205479,5222082.407205479
自贡,交强险,2026-12-31,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,5148781.609945205,5281111.159945206
自贡,商业保险,2026-01-31,2706,4037073.06,824429.43,0.20421464208031945,0.94,774963.6642,1717631.2235616439,2492594.8877616436
自贡,商业保险,2026-02-28,2706,4037073.06,824429.43,0.20421464208031945,0.94,774963.6642,1931268.3299452055,2706231.9941452052
自贡,商业保险,2026-03-31,2706,4037073.06,824429.43,0.20421464208031945,0.94,774963.6642,2150903.065287671,2925866.729487671
自贡,商业保险,2026-04-30,2706,4037073.06,824429.43,0.20421464208031945,0.94,774963.6642,2343467.8484657533,3118431.5126657533
自贡,商业保险,2026-05-31,2706,4037073.06,824429.43,0.20421464208031945,0.94,774963.6642,2515013.811726027,3289977.475926027
自贡,商业保险,2026-06-30,2706,4037073.06,824429.43,0.20421464208031945,0.94,774963.6642,2661984.072630137,3436947.7368301367
